name,old_price,present_price,discount,due_discount,type_of_device,trademark,series,link
Chuột Không dây Bluetooth Silent Rapoo M650 Pháp,400.000₫,280.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-bluetooth-silent-rapoo-m650-phap
Chuột Không dây Bluetooth Silent Rapoo M650 Đức,400.000₫,280.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-bluetooth-silent-rapoo-m650-duc
Chuột Không dây Bluetooth Silent Rapoo M650 Brazil,400.000₫,280.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-bluetooth-silent-rapoo-m650-brazil
Chuột Không dây Bluetooth Silent Rapoo M650 Argentina,400.000₫,280.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-bluetooth-silent-rapoo-m650-argentina
Chuột Không dây Bluetooth Silent Rapoo M650 Anh,400.000₫,280.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-vi-tinh-quang-khong-day-rapoo-m650silent-eng-english
Chuột Có dây Gaming MSI Clutch GM08,450.000₫,350.000₫,-22%,23:00 | 30/11,Chuột máy tính,MSI,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-gaming-msi-clutch-gm08-den
Chuột Có dây Gaming Asus Keris,1.250.000₫,1.000.000₫,-20%,23:00 | 30/11,Chuột máy tính,Asus,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-gaming-asus-keris
Chuột Có dây DareU EM908,420.000₫,315.000₫,-25%,23:00 | 30/11,Chuột máy tính,DareU,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-dareu-em908-hong
Chuột Có dây DareU A960,800.000₫,600.000₫,-25%,23:00 | 30/11,Chuột máy tính,DareU,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-dareu-a960
Chuột Không dây Rapoo M20 Plus,200.000₫,150.000₫,-25%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-rapoo-m20-plus
Chuột Không dây Rapoo M216,200.000₫,120.000₫,-40%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-rapoo-m216-den
Chuột Có dây Gaming HyperX Pulsefire Core RGB,690.000₫,445.000₫,-35%,23:00 | 30/11,Chuột máy tính,HyperX,,https://www.thegioididong.com/chuot-may-tinh/chuot-gaming-hyperx-pulsefire-core-rgb-den
Chuột Có dây Gaming HyperX Pulsefire Surge RGB,1.140.000₫,740.000₫,-35%,23:00 | 30/11,Chuột máy tính,HyperX,,https://www.thegioididong.com/chuot-may-tinh/chuot-gaming-hyperx-pulsefire-surge-rgb-den
Chuột Không dây Bluetooth Gaming Corsair Iron Claw RGB,2.195.000₫,1.755.000₫,-20%,23:00 | 30/11,Chuột máy tính,Corsair,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-gaming-corsair-iron-claw-rgb-den
Chuột Có dây Gaming Rapoo VT200,390.000₫,270.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-gaming-rapoo-vt200-den
Chuột Không dây Bluetooth Gaming Corsair Harpoon RGB,1.390.000₫,1.110.000₫,-20%,23:00 | 30/11,Chuột máy tính,Corsair,,https://www.thegioididong.com/chuot-may-tinh/chuot-bluetooth-gaming-corsair-harpoon-rgb-den
Chuột Bluetooth Microsoft RJN,640.000₫,540.000₫,-15%,23:00 | 30/11,Chuột máy tính,Microsoft,,https://www.thegioididong.com/chuot-may-tinh/chuot-bluetooth-microsoft-rjn
Chuột Có dây Gaming Zadez G-152M,300.000₫,210.000₫,-30%,23:00 | 30/11,Chuột máy tính,Zadez,,https://www.thegioididong.com/chuot-may-tinh/chuo-t-gaming-zadez-g-152m-den
Chuột Không dây Zadez M325 Tuxedo,200.000₫,150.000₫,-25%,23:00 | 30/11,Chuột máy tính,Zadez,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-zadez-m325
Chuột Không dây Zadez M356,150.000₫,120.000₫,-20%,23:00 | 30/11,Chuột máy tính,Zadez,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-zadez-m356
